autothers: Helen Qin & Jimmy Wang
Catergory,Brand_to_Avoid,Canadian_Alternatives
Dairy Products,,
"Cheese, Dairy",Kraft,"Saputo, Black Diamond, Armstrong"
Cream Cheese,Philadelphia,"Lactantia, Tre Stelle, Agropur"
Yogurt,Yoplait,"Astro, Olympc, Liberté"
Butter,Land O'Lakes,"Lactantia, Natrel, Gay Lea"
Soft Drinks & Beverages,,
Cola,"Coca-Cola, Pepsi","Canada Dry, PC Cola, Great Value (Walmart)"
Juice,Tropicana,"Oasis, SunRype, Arthur's"
Sports Drinks,"Gatorade, Powerade",BioSteeI (Canadian sports drink)
Bottled Coffee Drinks,Starbucks,"Tm Hortons, Second Cup, ready-to-drink beverages"
Packaged & Snack Foods,,
Chips,Lay's,"Old Dutch, Covered Bridge, Hardbite"
Tortilla Chips,"Doritos, Cheetos","Neal Brothers, Hardbite"
Cereal,Kellogg's,"Nature's Path, Barbara's, Quaker (Some Canadian-made)"
Cookies/Crackers,Nabisco,"Dare, Leclerc, Voortman"
Soups,Campbell's,"Habitant (by Loblaws), President's Choice soups"
Ketchup/Sauces,Heinz,"French's (Canadian-made), President's Choice"
Meat & Processed Foods,,
Deli Meats,Oscar Mayer,"Maple Leaf, Schneiders, Pillers"
"Bacon, Ham",Hormel,"Olymel, Grimm's"
Chicken Products,Tyson Foods,"Lilydale, Maple Lodge Farms"
Plant-Based,Beyond Meat,"Yves Veggie Cuisine, Gardein"
Condiments & Sauces,,
Mayonnaise,Hellmann's,"President's Choice, Compliments"
Mustard,French's,"Kozlik's, President's Choice"
Salad Dressing,Hidden Valley,"Renee's, Kraft (Canadian-made varieties)"
Hot Sauce,Tabasco,"Dawson's, Piri Piri by PC, No Name hot sauce"
Baking Products,,
"Flour, Baking Mixes",Pillsbury,"Robin Hood, Five Roses, Compliments"
Cake Mixes,Betty Crocker,"President's Choice, No Name"
Chocolate Chips,Hershey's,"Camino, Laura Second, PC chocolate chips"
Sugar,Domino,Redpath (Canadian brand)
Forzen Foods,,
Vegetables,Green Giant,"Arctic Gardens, Compliments, No Name"
Frozen Meals,Stouffer's,"President's Choice, M&M Food Market"
Waffles,Eggo,"Nature's Path, President's Choice"
Frozen Pizza,DiGiorno,"Dr, Oetker (some made in Canada), President's Choice"
Coffee & Tea,,
Coffee,Starbucks,"Tim Hottons, Second Cup, Van Houtte"
Coffee (Ground),Folgers,"Nabob, Kicking Horse Coffee"
Tea,Lipton,"Red Rose, Tetley (some products Canadian-made)"
Coffee Creamers,Nestlé,"International Delight (Canadian-made), Beatrice"
Personal Care Products,,
Toothpaste,Colgate,"Green Beaver, Tom's of Maine (some Canadian-made)"
"Soap, Shampoo",Dove,"Live Clean, The Green Beaver Company"
Shampoo,Head & Shoulders,"Attitude, The Unscented Company"
"Razors, Shaving Cream",Gillette,"Schick (some Canadian-made), Personna"
